,dummy,trail,region,date,description,condition,link
1699,,Ziv,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Unknown,view
1700,,Swing,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Unknown,view
1701,,The Installations,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Dry,view
1702,,The Avenue,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Unknown,view
1703,,The Short,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Unknown,view
1704,,Forest Road,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Unknown,view
1705,,Aloney Yitshak West,Kfar Glikson,"May 31, 2017 @ 10:01pmMay 31, 2017",,Dry,view
1706,,Green Mamba,Kfar HaHoresh,"May 27, 2017 @ 2:48amMay 27, 2017",reporter,Very Dry,view
1707,,The Duke,Kfar HaHoresh,"May 27, 2017 @ 2:48amMay 27, 2017",reporter,Dry,view
1708,,Sukkot Detour,Kfar HaHoresh,"May 27, 2017 @ 2:48amMay 27, 2017",reporter,Dry,view
1709,,HaHoresh,Kfar HaHoresh,"May 27, 2017 @ 2:48amMay 27, 2017",reporter,Dry,view
1710,,The Mad Cow,Kfar HaHoresh,"May 27, 2017 @ 2:48amMay 27, 2017",reporter,Very Dry,view
1711,,Across The Hill,Horeshan,"May 20, 2017 @ 5:03amMay 20, 2017",,Variable,view
1712,,Meadow,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1713,,Discovery,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1714,,Sharon Chen,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1715,,Iron Safe,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1716,,Snapir Portal,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1717,,Shvika 2,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Very Dry,view
1718,,Good Descent,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Very Dry,view
1719,,The Hook,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1720,,Cow's Hell,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Very Dry,view
1721,,Alonim Cemetery Forest,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1722,,Green Oak,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Very Dry,view
1723,,Out Of Bounds,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1724,,The Swimming Pool,Kiryat Tivon,"May 16, 2017 @ 5:22amMay 16, 2017",reporter,Dry,view
1725,,Zeevik The Fox,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1726,,Snail Hunting,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1727,,Snail of a Rabit,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1728,,Starter,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1729,,The Hump / Ha'Dabeshet,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1730,,Carobs,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1731,,Petra/ The Eagle,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1732,,Uria's Corner,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1733,,Carobs 2,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1734,,Butterflies,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1735,,Aristo,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1736,,Nettles,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Very Dry,view
1737,,Dan7,Mishmar HaEmek,"May 12, 2017 @ 2:44amMay 12, 2017",reporter,Dry,view
1738,,Ehud 3 extension,Horeshan,"May 6, 2017 @ 10:20pmMay 6, 2017",,Dry,view
1739,,Ehud 5,Horeshan,"May 6, 2017 @ 10:20pmMay 6, 2017",,Dry,view
1740,,Ehud 3,Horeshan,"May 6, 2017 @ 10:20pmMay 6, 2017",,Variable,view
1741,,A Lost Double,Horeshan,"May 6, 2017 @ 10:20pmMay 6, 2017",,Dry,view
1742,,Hunters - Ehud 4,Horeshan,"May 6, 2017 @ 10:20pmMay 6, 2017",,Dry,view
1743,,Ehud 6,Horeshan,"Apr 29, 2017 @ 8:45amApr 29, 2017",,Unknown,view
1744,,Ehud 1,Horeshan,"Apr 29, 2017 @ 8:45amApr 29, 2017",,Dry,view
1745,,Ehud 2,Horeshan,"Apr 29, 2017 @ 8:45amApr 29, 2017",,Dry,view
1746,,Misgav KKL 10,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1747,,Misgav KKL 05,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1748,,Misgav KKL 04,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1749,,Misgav KKL 03,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1750,,Misgav KKL 02,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1751,,Misgav KKL 01,Misgav,"Apr 28, 2017 @ 7:53amApr 28, 2017",,Dry,view
1752,,Tal El 2,Ahihud Forest,"Apr 22, 2017 @ 8:06amApr 22, 2017",,Dry,view
1753,,Paradise,Horeshan,"Apr 17, 2017 @ 12:19amApr 17, 2017",,Dry,view
1754,,Ehud 1,Horeshan,"Apr 17, 2017 @ 12:19amApr 17, 2017",,Dry,view
1755,,Forest Road,Zihron Ya'akov,"Apr 17, 2017 @ 12:19amApr 17, 2017",,Dry,view
1756,,Forest Road,Kfar Glikson,"Apr 13, 2017 @ 3:46amApr 13, 2017",,Unknown,view
1757,,Aloney Yitshak West,Kfar Glikson,"Apr 13, 2017 @ 3:46amApr 13, 2017",,Dry,view
1758,,The Green - Kiryat Ata Forest,Kiryat Ata Forest,"Apr 11, 2017 @ 5:14amApr 11, 2017",,Dry,view
1759,,Shimshit,Alon HaGalil,"Apr 4, 2017 @ 1:45amApr 4, 2017",,Dry,view
1760,,Zeevik The Fox,Mishmar HaEmek,"Mar 31, 2017 @ 3:14amMar 31, 2017",,Dry,view
1761,,Snail Hunting,Mishmar HaEmek,"Mar 31, 2017 @ 3:14amMar 31, 2017",,Dry,view
1762,,Snail of a Rabit,Mishmar HaEmek,"Mar 31, 2017 @ 3:14amMar 31, 2017",,Dry,view
1763,,Aristo,Mishmar HaEmek,"Mar 31, 2017 @ 3:14amMar 31, 2017",,Dry,view
1764,,Dan7,Mishmar HaEmek,"Mar 31, 2017 @ 3:14amMar 31, 2017",,Dry,view
1765,,Misgav KKL 08,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1766,,Misgav KKL 09,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1767,,Forest Road,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1768,,Dust,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1769,,Flat Tyre,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1770,,Kabush,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1771,,Dreamer 3,Misgav,"Mar 26, 2017 @ 7:14amMar 26, 2017",,Dry,view
1772,,Active Bar,Horeshan,"Feb 24, 2017 @ 7:25amFeb 24, 2017",,Dry,view
1773,,The Orange,Horeshan,"Feb 24, 2017 @ 7:11amFeb 24, 2017","Small tree down across trail, can ride over or around",Dry,view
1774,,Milwaukee,Horeshan,"Feb 24, 2017 @ 7:10amFeb 24, 2017",,Dry,view
1775,,Steep Cat,Horeshan,"Feb 24, 2017 @ 7:10amFeb 24, 2017",,Dry,view
1776,,To the Vultures Cage,Ramat Ha'anadiv,"Feb 23, 2017 @ 8:31amFeb 23, 2017",,Dry,view
1777,,Tal El 1,Ahihud Forest,"Feb 12, 2017 @ 3:34amFeb 12, 2017",reporter,Dry,view
1778,,Ahihud,Ahihud Forest,"Feb 12, 2017 @ 3:34amFeb 12, 2017",reporter,Dry,view
1779,,Tal El 2,Ahihud Forest,"Feb 12, 2017 @ 3:34amFeb 12, 2017","The trail is clear and the soil is tight, excellent condition reporter",Dry,view
1780,,Ehud 2,Horeshan,"Feb 11, 2017 @ 9:27amFeb 11, 2017",,Dry,view
1781,,Goat Hill,Carmel Mountain,"Feb 7, 2017 @ 11:45pmFeb 7, 2017",4x4 steep and rocky in good condition at the moment.,Variable,view
1782,,Burma,Mishmar HaEmek,"Feb 5, 2017 @ 12:05pmFeb 5, 2017",,Variable,view
1783,,Concealed,Mishmar HaEmek,"Feb 5, 2017 @ 12:03pmFeb 5, 2017",,Variable,view
1784,,Deers,Mishmar HaEmek,"Feb 5, 2017 @ 12:01pmFeb 5, 2017",,Variable,view
1785,,Yossi #2,Mishmar HaEmek,"Feb 5, 2017 @ 11:59amFeb 5, 2017",,Variable,view
1786,,Petra/ The Eagle,Mishmar HaEmek,"Feb 5, 2017 @ 11:57amFeb 5, 2017",,Variable,view
1787,,Bridges,Ofer Forest,"Feb 4, 2017 @ 8:05amFeb 4, 2017",reporter,Variable,view
1788,,Shimshit,Alon HaGalil,"Jan 23, 2017 @ 10:07amJan 23, 2017",excellent condition,Variable,view
1789,,Narrow Descent,Horeshan,"Jan 21, 2017 @ 3:02amJan 21, 2017",,Variable,view
1790,,Colourfull Movie,Horeshan,"Jan 20, 2017 @ 12:26pmJan 20, 2017",,Variable,view
1791,,Ehud 3,Horeshan,"Jan 20, 2017 @ 12:25pmJan 20, 2017",,Variable,view
1792,,Ethiopia,Horeshan,"Jan 20, 2017 @ 12:23pmJan 20, 2017",,Variable,view
1793,,Rabbit,Horeshan,"Jan 20, 2017 @ 12:22pmJan 20, 2017",,Variable,view
1794,,Steep Cat,Horeshan,"Jan 20, 2017 @ 12:21pmJan 20, 2017",,Variable,view
1795,,Cyprus,Horeshan,"Jan 20, 2017 @ 12:20pmJan 20, 2017",,Variable,view
1796,,Down to Ehud 3,Horeshan,"Jan 20, 2017 @ 12:19pmJan 20, 2017",,Variable,view
1797,,The Technical,Horeshan,"Jan 20, 2017 @ 12:17pmJan 20, 2017",Overgrown vegetation,Variable,view
1798,,Ehud 1,Horeshan,"Jan 20, 2017 @ 12:15pmJan 20, 2017","Small tree down across trail, can ride over or around",Variable,view
1799,,Meadow,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1800,,Discovery,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1801,,Sharon Chen,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1802,,The Bench,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1803,,Haggay 1,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1804,,Snapir Portal,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1805,,The Hook,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1806,,Bench to Green Gate,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1807,,Iron Safe,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1808,,Rancho,Kiryat Tivon,"Jan 19, 2017 @ 8:22amJan 19, 2017",reporter,Variable,view
1809,,Misgav KKL 08,Misgav,"Jan 14, 2017 @ 8:31amJan 14, 2017",,Unknown,view
1810,,Cappuccino & Zuta,Misgav,"Jan 14, 2017 @ 8:31amJan 14, 2017",,Unknown,view
1811,,Dreamer 3,Misgav,"Jan 14, 2017 @ 8:31amJan 14, 2017",,Variable,view
1812,,Ethiopia,Horeshan,"Jan 1, 2017 @ 3:12amJan 1, 2017","First few meters are muddy, but singletrack is in ridable condition",Wet,view
1813,,The Orange,Horeshan,"Dec 30, 2016 @ 12:33pmDec 30, 2016","Small tree down across trail, can ride over or around",Variable,view
1814,,Tivon Circuit (NE section),Kiryat Tivon,"Dec 23, 2016 @ 6:43amDec 23, 2016","Small tree down across trail, can ride around, only downhill reporter",Variable,view
1815,,Aristo,Mishmar HaEmek,"Dec 11, 2016 @ 3:23amDec 11, 2016",,Dry,view
1816,,Motorbikes North,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1817,,Milwaukee,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1818,,Motorbikes South,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1819,,The Orange,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1820,,Ethiopia,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1821,,Georgie,Horeshan,"Dec 11, 2016 @ 2:52amDec 11, 2016",reporter,Variable,view
1822,,The Fence,Horeshan,"Dec 9, 2016 @ 7:35amDec 9, 2016","Large tree down across trail, blocking trail",Variable,view
1823,,Motorbikes East,Horeshan,"Dec 9, 2016 @ 7:33amDec 9, 2016",,Variable,view
1824,,The Liar,Horeshan,"Dec 9, 2016 @ 7:33amDec 9, 2016",,Variable,view
1825,,Across The Hill,Horeshan,"Dec 9, 2016 @ 7:32amDec 9, 2016",,Variable,view
1826,,Active Bar,Horeshan,"Dec 9, 2016 @ 7:31amDec 9, 2016",,Variable,view
1827,,Active Bar,Horeshan,"Dec 9, 2016 @ 7:30amDec 9, 2016",,Variable,view
1828,,Snail Hunting,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Wet,view
1829,,Snail of a Rabit,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Prevalent Mud,view
1830,,Butterflies,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Wet,view
1831,,Aristo,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Wet,view
1832,,Starter,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Wet,view
1833,,Carobs,Mishmar HaEmek,"Dec 3, 2016 @ 1:46pmDec 3, 2016",reporter,Wet,view
1834,,Petra/ The Eagle,Mishmar HaEmek,"Dec 3, 2016 @ 1:45pmDec 3, 2016",Fun in all conditions reporter,Prevalent Mud,view
1835,,Georgie,Horeshan,"Nov 20, 2016 @ 12:08amNov 20, 2016",reporter,Very Dry,view
1836,,Behind The Fence,Horeshan,"Nov 20, 2016 @ 12:08amNov 20, 2016",reporter,Dry,view
1837,,Hunters - Ehud 4,Horeshan,"Nov 20, 2016 @ 12:08amNov 20, 2016",reporter,Dry,view
1838,,Motocross,Horeshan,"Nov 20, 2016 @ 12:08amNov 20, 2016",reporter,Dry,view
1839,,The Liar,Horeshan,"Nov 17, 2016 @ 11:11pmNov 17, 2016",,Dry,view
1840,,Crime and Punishment,Horeshan,"Nov 17, 2016 @ 11:10pmNov 17, 2016",,Dry,view
1841,,New Zealand - The Jungle,Horeshan,"Nov 17, 2016 @ 9:25pmNov 17, 2016",,Dry,view
1842,,Milwaukee,Horeshan,"Nov 15, 2016 @ 8:51amNov 15, 2016","trail not in very good condition, yet rideable",Dry,view
1843,,Carmel Scenic Route,Haifa,"Nov 11, 2016 @ 1:17pmNov 11, 2016",,Dry,view
1844,,Yagur Descender,The Forester's House,"Oct 29, 2016 @ 10:08amOct 29, 2016",loose rocks,Very Dry,view
1845,,The Yellow,Kiryat Ata Forest,"Oct 9, 2016 @ 8:42amOct 9, 2016",like riding a sand bath,Very Dry,view
1846,,Snapir Portal,Kiryat Tivon,"Sep 23, 2016 @ 12:23amSep 23, 2016","Small tree down across trail, can ride over or around reporter",Dry,view
1847,,Yaad DH,Misgav,"Aug 28, 2016 @ 12:32pmAug 28, 2016",,Very Dry,view
1848,,Taliko,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016",Small tree branches and thorny bushes partly cross the trail reporter,Unknown,view
1849,,Petra/ The Eagle,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016",reporter,Dry,view
1850,,Bones,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016",Trail is blocked by forest maintenance work reporter,Very Dry,view
1851,,Nettles,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016",reporter,Very Dry,view
1852,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016",reporter,Very Dry,view
1853,,The Hump / Ha'Dabeshet,Mishmar HaEmek,"Aug 27, 2016 @ 5:48amAug 27, 2016","Pay attention to forest work at the end of the trail, and also to the  bee hives reporter",Very Dry,view
1854,,Ehud 2,Horeshan,"Aug 20, 2016 @ 8:14pmAug 20, 2016",,Dry,view
1855,,Tal El 1,Ahihud Forest,"Aug 6, 2016 @ 2:26amAug 6, 2016",reporter,Dry,view
1856,,Mt. Gilon Circut,Lower Galillee,"Aug 6, 2016 @ 2:24amAug 6, 2016",reporter,Very Dry,view
1857,,Tal El 2,Ahihud Forest,"Aug 6, 2016 @ 2:20amAug 6, 2016","The trail has just been opened, the soil is loose on many sections, traction will improve with time. reporter",Very Dry,view
1858,,The Orange,Horeshan,"Jul 31, 2016 @ 11:19amJul 31, 2016",reporter,Dry,view
1859,,The Orange,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1860,,Paradise,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Very Dry,view
1861,,Ehud 3,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1862,,The Peak,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1863,,Across The Hill,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1864,,Joel,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1865,,S's On The Black,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Very Dry,view
1866,,Ehud 1,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1867,,Thorns Ravine,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1868,,New Zealand - The Jungle,Horeshan,"Jul 31, 2016 @ 11:13amJul 31, 2016",reporter,Dry,view
1869,,Nahal Kelah,Mt. Carmel National Park,"Jul 19, 2016 @ 12:22pmJul 19, 2016",reporter,Dry,view
1870,,Nahal Alon,Mt. Carmel National Park,"Jul 19, 2016 @ 12:22pmJul 19, 2016",reporter,Dry,view
1871,,Shokef,Mt. Carmel National Park,"Jul 19, 2016 @ 12:22pmJul 19, 2016",reporter,Very Dry,view
1872,,G Fly,Ramot Menashe,"Jul 9, 2016 @ 2:55amJul 9, 2016",reporter,Very Dry,view
1873,,Yoash & Izchak,Ramot Menashe,"Jul 9, 2016 @ 2:55amJul 9, 2016",reporter,Very Dry,view
1874,,Georgie,Horeshan,"Jul 3, 2016 @ 1:13amJul 3, 2016",,Very Dry,view
1875,,Discovery,Kiryat Tivon,"Jun 23, 2016 @ 6:26amJun 23, 2016",Maintanence done - trail cleared  reporter 0.5 hours 2 attendees,Dry,view
1876,,Rabbit - Upper,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1877,,Crater,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1878,,Forest Road,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1879,,Shloohit,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1880,,Darkness,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1881,,Burial Cave,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Dry,view
1882,,Rabbit - Lower,Ofer Forest,"Jun 20, 2016 @ 2:11pmJun 20, 2016",,Very Dry,view
1883,,Discovery,Kiryat Tivon,"Jun 16, 2016 @ 10:12amJun 16, 2016",Trail need some maintenance reporter,Dry,view
1884,,Sharon Chen,Kiryat Tivon,"Jun 16, 2016 @ 10:12amJun 16, 2016",reporter,Dry,view
1885,,Shuni,Ramat Ha'anadiv,"Jun 11, 2016 @ 12:15amJun 11, 2016",,Dry,view
1886,,mini downhill,Ramat Ha'anadiv,"Jun 11, 2016 @ 12:15amJun 11, 2016",,Dry,view
1887,,Israel Trail from the Villa,Ramat Ha'anadiv,"Jun 11, 2016 @ 12:15amJun 11, 2016",,Dry,view
1888,,Villa to the Edge of the Carmel,Ramat Ha'anadiv,"Jun 11, 2016 @ 12:15amJun 11, 2016",,Dry,view
1889,,Sharon Chen,Kiryat Tivon,"May 27, 2016 @ 7:56amMay 27, 2016",reporter,Dry,view
1890,,Good Descent,Kiryat Tivon,"May 27, 2016 @ 7:56amMay 27, 2016",reporter,Very Dry,view
1891,,Sharon Chen,Kiryat Tivon,"May 26, 2016 @ 6:29amMay 26, 2016",trail being marked and cleared  reporter 1.5 hours 4 attendees,Dry,view
1892,,The Bench,Kiryat Tivon,"May 5, 2016 @ 10:29amMay 5, 2016",reporter,Dry,view
1893,,Alonim Cemetery Forest,Kiryat Tivon,"May 5, 2016 @ 10:29amMay 5, 2016",reporter,Dry,view
1894,,Green Oak,Kiryat Tivon,"May 5, 2016 @ 10:29amMay 5, 2016",reporter,Dry,view
1895,,Deers Valley,Horeshan,"May 1, 2016 @ 12:06amMay 1, 2016",,Dry,view
1896,,Rocks,Horeshan,"Apr 28, 2016 @ 10:32amApr 28, 2016",reporter,Dry,view
1897,,A Lost Double,Horeshan,"Apr 28, 2016 @ 10:32amApr 28, 2016",reporter,Dry,view
1898,,Cyprus,Horeshan,"Apr 28, 2016 @ 10:32amApr 28, 2016",reporter,Dry,view
1899,,The Technical,Horeshan,"Apr 28, 2016 @ 10:32amApr 28, 2016","The trail is not ridden enough, some sections are difficult to follow reporter",Dry,view
1900,,Descent from the Oak,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016",reporter,Dry,view
1901,,Connector,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016",reporter,Dry,view
1902,,The Hook,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016",reporter,Dry,view
1903,,Bench to Green Gate,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016",reporter,Dry,view
1904,,Rancho,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016",reporter,Dry,view
1905,,Basmet Tabun Detour,Kiryat Tivon,"Apr 26, 2016 @ 11:50amApr 26, 2016","Near Bsmat Tabun a section of the trail is covered with digged soil, You have to do a short Hike a bike. reporter",Dry,view
1906,,HaZore'a South / Blue singletrack,Ramot Menashe,"Apr 17, 2016 @ 6:38amApr 17, 2016",reporter,Dry,view
1907,,Ethiopia,Horeshan,"Apr 6, 2016 @ 3:37amApr 6, 2016",the singletrack is in good condition,Dry,view
1908,,Milwaukee,Horeshan,"Apr 6, 2016 @ 3:34amApr 6, 2016",,Dry,view
1909,,Ehud 5,Horeshan,"Apr 6, 2016 @ 3:32amApr 6, 2016",,Dry,view
1910,,The Swimming Pool,Kiryat Tivon,"Mar 19, 2016 @ 10:54amMar 19, 2016",reporter 1 hours 1 attendees,Variable,view
1911,,The Mad Cow,Kfar HaHoresh,"Mar 19, 2016 @ 10:53amMar 19, 2016",reporter,Dry,view
1912,,Cymbals,Kfar HaHoresh,"Mar 19, 2016 @ 10:52amMar 19, 2016","Small tree down across trail, can ride over or around  reporter 1 hours 1 attendees",Dry,view
1913,,S's On The Black,Horeshan,"Mar 19, 2016 @ 4:00amMar 19, 2016",reporter,Dry,view
1914,,New Zealand - The Jungle,Horeshan,"Mar 19, 2016 @ 4:00amMar 19, 2016",reporter,Dry,view
1915,,Givat HaMore,Jezreel Valley,"Mar 11, 2016 @ 4:36amMar 11, 2016",reporter,Dry,view
1916,,Iron Safe,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1917,,Snapir Portal,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1918,,Climb to The Northern Passage,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1919,,Avi Snapir 2,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1920,,Avi Snapir,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1921,,Northern Descent,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1922,,Ascent to Ramat Tivon,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Dry,view
1923,,HaLilach trail,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016",reporter,Variable,view
1924,,The Swimming Pool,Kiryat Tivon,"Mar 1, 2016 @ 1:48amMar 1, 2016","Still slippery, big stones on lower section - pay attention reporter",Variable,view
1925,,The Orange,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Dry,view
1926,,The Liar,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Variable,view
1927,,Crime and Punishment,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Dry,view
1928,,Ethiopia,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Dry,view
1929,,Milwaukee,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Variable,view
1930,,New Zealand - The Jungle,Horeshan,"Feb 26, 2016 @ 9:45amFeb 26, 2016",reporter,Variable,view
1931,,Kamtan,Kfar HaHoresh,"Feb 20, 2016 @ 6:04amFeb 20, 2016",reporter,Dry,view
1932,,The Duke,Kfar HaHoresh,"Feb 20, 2016 @ 6:04amFeb 20, 2016",reporter,Dry,view
1933,,Sukkot Detour,Kfar HaHoresh,"Feb 20, 2016 @ 6:04amFeb 20, 2016",reporter,Dry,view
1934,,HaHoresh,Kfar HaHoresh,"Feb 20, 2016 @ 6:04amFeb 20, 2016",reporter,Dry,view
1935,,The Mad Cow,Kfar HaHoresh,"Feb 20, 2016 @ 6:04amFeb 20, 2016",reporter,Dry,view
1936,,Paradise,Horeshan,"Feb 6, 2016 @ 1:04amFeb 6, 2016",reporter,Dry,view
1937,,Ehud 3,Horeshan,"Feb 6, 2016 @ 1:04amFeb 6, 2016",reporter,Dry,view
1938,,The Peak,Horeshan,"Feb 6, 2016 @ 1:04amFeb 6, 2016",reporter,Dry,view
1939,,The Fence,Horeshan,"Feb 6, 2016 @ 1:04amFeb 6, 2016",reporter,Dry,view
